Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
11-Oct,Copa del Rey,Semi-Finals,H,FC Barcelona,UD Almera,CF,15,15,Left-footed shot,Andres Iniesta
11-Oct,LaLiga,21,A,FC Barcelona,Hercules CF,CF,87,87,Left-footed shot,Dani Alves
11-Oct,LaLiga,21,A,FC Barcelona,Hercules CF,CF,89,89,Left-footed shot,Dani Alves
11-Oct,LaLiga,22,H,FC Barcelona,Atletico de Madrid,CF,16,16,Left-footed shot,Dani Alves
11-Oct,LaLiga,22,H,FC Barcelona,Atletico de Madrid,CF,28,28,Left-footed shot,Pedro
11-Oct,LaLiga,22,H,FC Barcelona,Atletico de Madrid,CF,78,78,Left-footed shot,David Villa
11-Oct,LaLiga,24,H,FC Barcelona,Athletic Bilbao,CF,78,78,Right-footed shot,Dani Alves
11-Oct,LaLiga,25,A,FC Barcelona,RCD Mallorca,CF,38,38,Header,Seydou Keita
11-Oct,LaLiga,26,A,FC Barcelona,Valencia CF,CF,77,77,Left-footed shot,Adriano
11-Oct,UEFA Champions League,last 16,H,FC Barcelona,Arsenal FC,RW,49,49,Left-footed shot,Andres Iniesta
11-Oct,UEFA Champions League,last 16,H,FC Barcelona,Arsenal FC,RW,72,72,Penalty,
11-Oct,LaLiga,31,H,FC Barcelona,UD Almera,CF,52,52,Penalty,
11-Oct,LaLiga,31,H,FC Barcelona,UD Almera,CF,90+1,90+1,Left-footed shot,Seydou Keita
11-Oct,UEFA Champions League,Quarter-Finals,A,FC Barcelona,Shakhtar Donetsk,CF,42,42,Left-footed shot,Dani Alves
11-Oct,LaLiga,32,A,FC Barcelona,Real Madrid,CF,53,53,Penalty,
11-Oct,LaLiga,33,H,FC Barcelona,CA Osasuna,CF,87,87,Right-footed shot,Dani Alves
11-Oct,UEFA Champions League,Semi-Finals,A,FC Barcelona,Real Madrid,CF,76,76,Left-footed shot,Ibrahim Afellay
11-Oct,UEFA Champions League,Semi-Finals,A,FC Barcelona,Real Madrid,CF,87,87,Solo run,Sergio Busquets
11-Oct,UEFA Champions League,Final,H,FC Barcelona,Manchester United,CF,54,54,Left-footed shot,Andres Iniesta
11-Dec,Supercopa,final,A,FC Barcelona,Real Madrid,CF,45,45,Left-footed shot,Thiago
11-Dec,Supercopa,final,H,FC Barcelona,Real Madrid,CF,44,44,Right-footed shot,Gerard Pique
11-Dec,Supercopa,final,H,FC Barcelona,Real Madrid,CF,88,88,Left-footed shot,Adriano
11-Dec,UEFA Super Cup,Final,H,FC Barcelona,FC Porto,CF,39,39,Left-footed shot,
11-Dec,LaLiga,2,H,FC Barcelona,Villarreal CF,CF,51,51,Right-footed shot,Andres Iniesta
11-Dec,LaLiga,2,H,FC Barcelona,Villarreal CF,CF,74,74,Left-footed shot,Thiago
11-Dec,LaLiga,4,H,FC Barcelona,CA Osasuna,CF,5,5,Left-footed shot,Dani Alves
11-Dec,LaLiga,4,H,FC Barcelona,CA Osasuna,CF,41,41,Left-footed shot,Cesc Fabregas
11-Dec,LaLiga,4,H,FC Barcelona,CA Osasuna,CF,79,79,Left-footed shot,Cesc Fabregas
11-Dec,LaLiga,6,H,FC Barcelona,Atletico de Madrid,CF,26,26,Left-footed shot,Pedro
11-Dec,LaLiga,6,H,FC Barcelona,Atletico de Madrid,CF,78,78,Left-footed shot,Dani Alves
11-Dec,LaLiga,6,H,FC Barcelona,Atletico de Madrid,CF,90+1,90+1,Left-footed shot,David Villa
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,BATE Borisov,CF,38,38,Header,
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,BATE Borisov,CF,56,56,Left-footed shot,Dani Alves
11-Dec,LaLiga,8,H,FC Barcelona,Racing Santander,CF,11,11,Right-footed shot,Andres Iniesta
11-Dec,LaLiga,8,H,FC Barcelona,Racing Santander,CF,69,69,Right-footed shot,
